city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"Central Jakarta city, Indonesia",WARKOP aa,"West Jakarta City, Jakarta, Indonesia",5.0,3.0,1,1,1,0,1,1,0
"Central Jakarta city, Indonesia",Warkop Katineung,"warkop katineung, Jalan Kramat Lontar No. j150 RT.7/RW.1 jl.kramat lontar.J150",4.6,32.0,1,0,0,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Tanah Abang 54,"Jl. Tanah Abang III No.54/1, RT.2/RW.4",5.0,1.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop AA,"South Jakarta City, Jakarta, Indonesia",4.6,159.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",WARKOP BERSAMA,"RV82+7W5, Jl. Kramat Pulo, RT.7/RW.10",3.0,3.0,1,1,1,0,0,1,1
"Central Jakarta city, Indonesia",warkop,"RRHW+HRM, RT.14/RW.7",5.0,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Pak Mo,"Jl. Gardu Asem No.3, RT.12/RW.6",,,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Pasundan Setiabudi Tengah,"South Jakarta City, Jakarta, Indonesia",4.4,9.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Iwan Camp Jawa,"West Jakarta City, Jakarta, Indonesia",5.0,5.0,1,1,0,1,1,0,1
"Central Jakarta city, Indonesia",WARKOP BETAWI CORNER,"South Jakarta City, Jakarta, Indonesia",5.0,8.0,1,1,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Baik Hati,"Jl. Kelinci III No.14, RT.15/RW.4",5.0,9.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Nanas Gang T,"East Jakarta City, Jakarta, Indonesia",4.4,47.0,1,1,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Zakira,"Jl. Petamburan II No.65 12, RT.12/RW.3",,,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Pakde BENHIL,"Jl. Bendungan Hilir No.5, RT.5/RW.3",5.0,4.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia","Warka ""Warkop Jenaka""","13, Jl. Kramat Jaya Baru E9 No.257, RT.13/RW.10",5.0,4.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Atas,"South Jakarta City, Jakarta, Indonesia",4.1,78.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Resik,Jl. Pedurenan Masjid 2,4.2,9.0,1,1,1,1,1,0,0
"Central Jakarta city, Indonesia",Warkop Mardani,"Jl. Mardani Raya No.3, RT.3/RW.5",3.7,3.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Saset,"South Jakarta City, Jakarta, Indonesia",5.0,13.0,1,1,1,0,1,0,1
"Central Jakarta city, Indonesia",Warkop 24 Jam Senen,"Jl. Kramat Raya No.7 1, RT.1/RW.7",5.0,12.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Ilham,"8, Jl. Murtado 13 No.148-261, RT.8/RW.6",4.9,14.0,1,1,0,1,1,1,1
"Central Jakarta city, Indonesia",Ndeso'o Warkop,"Jl. Cempaka Baru VIII No.21 4, RT.4/RW.7",5.0,13.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Resik,"South Jakarta City, Jakarta, Indonesia",4.8,39.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Mami Gue,"Jl. Cempaka Sari I No.14, RT.4/RW.8",5.0,1.0,0,1,1,1,1,1,1
"Central Jakarta city, Indonesia",wahyoo warkop ibu ayu,"2, Jl. Pintu Besi I No.11A, RT.2/RW.5",5.0,3.0,1,1,1,0,1,1,1
"Central Jakarta city, Indonesia",Warkop TAKASIMURA,"East Jakarta City, Jakarta, Indonesia",4.9,10.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Resik,"South Jakarta City, Jakarta, Indonesia",4.9,11.0,1,1,1,1,0,0,1
"Central Jakarta city, Indonesia",Warkop X Pancong,"South Jakarta City, Jakarta, Indonesia",4.1,16.0,1,1,1,0,1,1,1
"Central Jakarta city, Indonesia",Warkop PJS,"West Jakarta City, Jakarta, Indonesia",4.1,8.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Aduhai,"East Jakarta City, Jakarta, Indonesia",4.5,14.0,1,0,0,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Purwanty,"RW:02, Jl. Kota Bambu Raya",5.0,4.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Temboes,"Jl. Murdai 1 No.20a rt.01 rw.06 Cemp. Putih Bar. Cemp. Putih, RT.1/RW.6",4.7,69.0,1,1,1,1,1,0,1
"Central Jakarta city, Indonesia",Warkop Pancong Wakwaw,"Jl Ps Kawi Kawi Sentiong No.2, RT.14/RW.6",4.0,10.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop,"Jl. Pasar Baru Selatan No.28 2, RT.2/RW.4",,,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Pak Ade,"Jl. Swadaya V No.38-36 13, RT.13/RW.4",5.0,3.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP PRAU,"West Jakarta City, Jakarta, Indonesia",,,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia","Warkop Pande, Kemayoran","jln. Harapan Mulia 1 L152, RT.5/RW.3",5.0,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Suka Suka Kopi,Jl. H. Ung,5.0,3.0,0,1,1,1,1,1,0
"Central Jakarta city, Indonesia",WARKOP CINTA RASA,"West Jakarta City, Jakarta, Indonesia",,,1,1,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Tampomas Jaya,"South Jakarta City, Jakarta, Indonesia",5.0,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Cikal,"East Jakarta City, Jakarta, Indonesia",4.6,10.0,0,0,1,0,1,1,1
"Central Jakarta city, Indonesia",Warkop Ibrahim,"West Jakarta City, Jakarta, Indonesia",4.2,24.0,1,0,1,1,1,1,1
