warkop_id,name,address,rating,rating_count,region,facilities
76,WARKOP KUNINGAN GANG MASJID AL UKHUWAH,"Jl. Masjid Al Ukhuwah No.6 13, RT.13/RW.1",4.2,5,Barat,"toilet,parking"
77,Warkop Jaya,"RQV6+F3X, RT.13/RW.3",4.5,17,Barat,"toilet,parking"
78,Warkop Rasa Rindu,"Jl. Kali Sekretaris No.20, RT.8/RW.5",5,1,Barat,"24hours,parking"
79,Warkop Salo.,"Kp Salo Rt 7/7, RT.2/RW.5",5,1,Barat,"toilet,parking,wifi"
80,Warkop Rasa Sayang komp.depag,"Jl. Komp. Departemen Agama No.18 4, RT.4/RW.3",5,10,Barat,"24hours,wifi,toilet,parking"
81,Warkop bang udin,"Jl. Mangga 19 No.2, RW.3",5,2,Barat,"24hours,wifi,toilet,parking,ac"
82,Warkop BASS,"Jl. Duri Mas 1 Ujung No.rt8, RT.5/RW.10",5,2,Barat,"24hours,wifi,toilet,parking,ac"
83,WARKOP MPOK NUNG,"Belakang Studio 5 Indosiar, Jl. Kali Sekretaris No. 1 RT. 007 RW. 05, Jl. Kali Sekretaris No.1, RT.8/RW.5",5,1,Barat,"24hours,wifi,toilet,parking,ac"
84,Warkop End try,Jl. Mangga 16 No.3,5,1,Barat,"toilet,parking"
85,WARUNG FARIDAH(warkop),"RQR5+XV4, RT.3/RW.3",5,1,Barat,"toilet,parking"
86,BC SEENKERS...WARKOP PAK GATOT,"RQR8+QHM, Jakarta Barat, RT.3/RW.5",5,1,Barat,"24hours,wifi,toilet"
87,WARKOP ADVENTURE,"Jl. Kp. Baru No.010 3, RT.10/RW.3",5,3,Barat,"24hours,wifi,toilet,parking"
88,warkop Isal,"RQF3+V86, RT.10/RW.6",5,1,Barat,"24hours,parking"
89,Warkop 1980,"Gg. H. Musanif No.24 1, RT.1/RW.8",5,4,Barat,"wifi,toilet"
90,WARKOP BOSS !,"Jl. Tanggul Kp. Baru No.130, RT.3/RW.10",5,6,Barat,"wifi,toilet"
91,Warkop Noni jln karya grogol,"Jl. Karya Barat III No.9c 10, RT.10/RW.3",5,1,Barat,"24hours,wifi,toilet"
92,Warkop Putri Tunggal,Dine-inÂ·Takeout,5,1,Timur,"ac,toilet"
93,Warkop Mang Odon,"Jl. Amal Raya No.32, RT.6/RW.1",4.8,20,Timur,"toilet,parking,wifi"
94,Warkop cipta rasa 234,"Jl. Pahlawan Revolusi No.63, RT.1/RW.9",5,10,Timur,"toilet,parking"
95,Warkop sky (warkop Nungs),"Jl. Masjid Abidin No.8, RT.3/RW.8",5,1,Timur,"24hours,wifi,toilet,parking"
96,WARKOP RIZQUNA,"Jl. Guru H. Sa'enan No.17 Blok B, RT.4/RW.9",4.8,12,Timur,"toilet,parking"
97,Warkop SILMA,"No., Jl. Dermaga Raya No.322, RT.7/RW.9",4.4,44,Timur,"24hours,wifi,toilet,parking,ac"
98,Warkop Unyil,"no. duren sawit, Jl. Pahlawan Revolusi No.42, RT.1/RW.9",4.3,9,Timur,"wifi,toilet"
99,Warkop Berkah 76,"Jl. Masjid Abidin No.4, RT.4/RW.6",4.5,4,Timur,"24hours,parking"
100,Warkop Kepo,"Jl. Cipinang Muara 3 No.39 17, RT.17/RW.4",4.6,76,Timur,"toilet,parking"
101,Warkop Atjoy,"Jl. Dermaga Raya No.24 C, RT.3/RW.7",4.5,10,Timur,"ac,toilet"
102,warkop balerakyat,"Jl. Balai Rakyat No.11, RT.11/RW.9",2,3,Timur,"toilet,parking,wifi"
103,WARKOP OREN PONDOK BAMBU,"Jl. B. Tanah 80 No.5, RW.8",5,5,Timur,"24hours,wifi,toilet"
104,Warkop Seruput 31,"Jl. Cipinang Muara 3, RT.7/RW.4",4.5,21,Timur,"ac,toilet"
105,Warkop Joker,"Jl. Masjid Abidin No.5, RT.5/RW.1",5,2,Timur,"24hours,wifi,toilet,parking"
